ID	問題	画像	選択肢1	選択肢2	選択肢3	選択肢4	選択肢5	選択肢6	選択肢7	正解番号	解説
N003	"A=5 B=4 C=3 D=2 E=1 / A+?+B=C+D"	""	"A"	"B"	"C"	"D"	"E"	""	""	3	"それぞれの文字に数字を代入して考えます。\n$5 + ? + 4 = 3 + 2$ より、$9 + ? = 5$ となるため、$? = -4$ です。値が$-4$なのは$C$です。"
N004	"A=1 B=3 C=4 D=5 E=2 / A+?+C=A+D"	""	"A"	"B"	"C"	"D"	"E"	""	""	1	"それぞれの文字に数字を代入して考えます。\n$1 + ? + 4 = 1 + 5$ より、$5 + ? = 6$ となるため、$? = 1$ です。値が$1$なのは$A$です。"
N005	"A=4 B=2 C=1 D=5 E=3 / C+?+B=D+E"	""	"A"	"B"	"C"	"D"	"E"	""	""	4	"それぞれの文字に数字を代入して考えます。\n$1 + ? + 2 = 5 + 3$ より、$3 + ? = 8$ となるため、$? = 5$ です。値が$5$なのは$D$です。"
N006	"A=3 B=4 C=5 D=1 E=2 / B+?+E=B+A"	""	"A"	"B"	"C"	"D"	"E"	""	""	5	"それぞれの文字に数字を代入して考えます。\n$4 + ? + 2 = 4 + 3$ より、$6 + ? = 7$ となるため、$? = 1$ です。値が$1$なのは$E$です。"
N007	"A=5 B=3 C=1 D=2 E=4 / C+?+E=A+D"	""	"A"	"B"	"C"	"D"	"E"	""	""	4	"それぞれの文字に数字を代入して考えます。\n$1 + ? + 4 = 5 + 2$ より、$5 + ? = 7$ となるため、$? = 2$ です。値が$2$なのは$D$です。"
N008	"A=2 B=5 C=3 D=4 E=1 / C+E=C+?+A"	""	"A"	"B"	"C"	"D"	"E"	""	""	1	"それぞれの文字に数字を代入して考えます。\n$3 + 1 = 3 + ? + 2$ より、$4 = 5 + ?$ となるため、$? = -1$ です。値が$-1$（元の値が$2$）なのは$A$です。"
N009	"A=2 B=3 C=1 D=5 E=4 / B+E=E+?+A"	""	"A"	"B"	"C"	"D"	"E"	""	""	3	"それぞれの文字に数字を代入して考えます。\n$3 + 4 = 4 + ? + 2$ より、$7 = 6 + ?$ となるため、$? = 1$ です。値が$1$なのは$C$です。"
N010	"A=3 B=4 C=2 D=5 E=1 / A+E=D+?+A"	""	"A"	"B"	"C"	"D"	"E"	""	""	2	"それぞれの文字に数字を代入して考えます。\n$3 + 1 = 5 + ? + 3$ より、$4 = 8 + ?$ となるため、$? = -4$ です。値が$-4$（元の値が$4$）なのは$B$です。"
N011	"A=2 B=3 C=4 D=5 E=1 / C+E=B+?+D"	""	"A"	"B"	"C"	"D"	"E"	""	""	3	"それぞれの文字に数字を代入して考えます。\n$4 + 1 = 3 + ? + 5$ より、$5 = 8 + ?$ となるため、$? = -3$ です。値が$-3$（元の値が$4$）なのは$C$です。"
N012	"A=4 B=5 C=3 D=2 E=1 / B+E=D+?+C"	""	"A"	"B"	"C"	"D"	"E"	""	""	4	"それぞれの文字に数字を代入して考えます。\n$5 + 1 = 2 + ? + 3$ より、$6 = 5 + ?$ となるため、$? = 1$ です。値が$1$なのは$D$です。"
N013	"A=2 B=1 C=5 D=4 E=3 / ?+B+E=A+E"	""	"A"	"B"	"C"	"D"	"E"	""	""	2	"それぞれの文字に数字を代入して考えます。\n$? + 1 + 3 = 2 + 3$ より、$? + 4 = 5$ となるため、$? = 1$ です。値が$1$なのは$B$です。"
N014	"A=3 B=2 C=5 D=1 E=4 / ?+C+D=B+C"	""	"A"	"B"	"C"	"D"	"E"	""	""	4	"それぞれの文字に数字を代入して考えます。\n$? + 5 + 1 = 2 + 5$ より、$? + 6 = 7$ となるため、$? = 1$ です。値が$1$なのは$D$です。"
N015	"A=1 B=4 C=5 D=3 E=2 / ?+B+C=A+E"	""	"A"	"B"	"C"	"D"	"E"	""	""	1	"それぞれの文字に数字を代入して考えます。\n$? + 4 + 5 = 1 + 2$ より、$? + 9 = 3$ となるため、$? = -6$ です。値が$-6$（元の値が$1$）なのは$A$です。"
N016	"A=3 B=4 C=5 D=2 E=1 / ?+B+E=C+E"	""	"A"	"B"	"C"	"D"	"E"	""	""	1	"それぞれの文字に数字を代入して考えます。\n$? + 4 + 1 = 5 + 1$ より、$? + 5 = 6$ となるため、$? = 1$ です。値が$1$なのは$A$です。"
N017	"A=3 B=4 C=2 D=5 E=1 / ?+C+E=A+B"	""	"A"	"B"	"C"	"D"	"E"	""	""	2	"それぞれの文字に数字を代入して考えます。\n$? + 2 + 1 = 3 + 4$ より、$? + 3 = 7$ となるため、$? = 4$ です。値が$4$なのは$B$です。"
N018	"80 × 42"	""	"2340"	"3360"	"3600"	"4230"	"4420"	""	""	2	"筆算で丁寧に計算しましょう。\n$80 \times 42 = 3360$ です。"
N019	"(60 + 30) ÷ 25"	""	"1.2"	"2.4"	"2.75"	"3.6"	"3.75"	""	""	4	"カッコの中を先に計算します。\n$90 \div 25 = 3.6$ です。"
N020	"0.43 + 12.86"	""	"12.49"	"13.09"	"13.29"	"13.33"	"13.99"	""	""	3	"小数点の位置を揃えて筆算しましょう。\n$0.43 + 12.86 = 13.29$ です。"
N021	"3200 ÷ 40 + 120"	""	"20"	"120"	"180"	"200"	"800"	""	""	4	"割り算を先に計算します。\n$80 + 120 = 200$ です。"
N022	"0.9 ÷ 0.15"	""	"0.06"	"0.135"	"3"	"4.5"	"6"	""	""	5	"割る数を整数に直して考えます。\n$90 \div 15 = 6$ です。"
N023	"120 × 0.015"	""	"1.8"	"3"	"18"	"30"	"32"	""	""	1	"$120 \times 15 = 1800$ から、小数点を3つ左にずらします。\n$1.8$ です。"
N024	"2/5 + 3/45"	""	"1/15"	"1/9"	"9/45"	"7/15"	"33/45"	""	""	4	"分母を$45$に揃えて通分します。\n$\frac{18}{45} + \frac{3}{45} = \frac{21}{45}$\n$3$で約分すると $\frac{7}{15}$ です。"
N025	"1/3 - 1/4"	""	"1/12"	"1/6"	"1/3"	"1/4"	"1/5"	""	""	1	"分母を$12$に揃えて通分します。\n$\frac{4}{12} - \frac{3}{12} = \frac{1}{12}$ です。"
N026	"2/3 × 5/8"	""	"10/21"	"5/12"	"2/5"	"7/24"	"7/12"	""	""	2	"分子同士、分母同士を掛け算します。\n$\frac{2 \times 5}{3 \times 8} = \frac{10}{24}$\n$2$で約分すると $\frac{5}{12}$ です。"
